Name,Color,Rarity,Kevin,Kevin_num,Nate,Nate_num,Josh,Josh_num,Tier,Tier_num,Kevin_error,Nate_error,Josh_error
The Wandering Rescuer,W,M,A+,12.0,A-,10.0,A+,12.0,A-,10.0,2.0,0.0,2.0
Overlord of the Mistmoors,W,M,A,11.0,C+,6.0,A+,12.0,A-,10.0,1.0,4.0,2.0
Enter the Enigma,U,C,C,5.0,C-,4.0,C,5.0,D,2.0,3.0,2.0,3.0
Unable to Scream,U,C,D+,3.0,C+,6.0,C,5.0,B-,7.0,4.0,1.0,2.0
Creeping Peeper,U,C,C-,4.0,C,5.0,C+,6.0,D-,1.0,3.0,4.0,5.0
Piranha Fly,U,C,C-,4.0,C+,6.0,C,5.0,D-,1.0,3.0,5.0,4.0
Stalked Researcher,U,C,C-,4.0,C,5.0,C+,6.0,C-,4.0,0.0,1.0,2.0
Erratic Apparition,U,C,D+,3.0,C-,4.0,D,2.0,C-,4.0,1.0,0.0,2.0
Tunnel Surveyor,U,C,B,8.0,C+,6.0,B-,7.0,C,5.0,3.0,1.0,2.0
Twist Reality,U,C,C-,4.0,C,5.0,C+,6.0,C,5.0,1.0,0.0,1.0
Clammy Prowler,U,C,D,2.0,C-,4.0,D,2.0,D,2.0,0.0,2.0,0.0
Vanish from Sight,U,C,C,5.0,C-,4.0,C,5.0,C,5.0,0.0,1.0,0.0
Daggermaw Megalodon,U,C,C-,4.0,D,2.0,C,5.0,C,5.0,1.0,3.0,0.0
Bottomless Pool // Locker Room,U,U,B-,7.0,B-,7.0,B-,7.0,C,5.0,2.0,2.0,2.0
Scrabbling Skullcrab,U,U,C,5.0,D,2.0,D,2.0,D+,3.0,2.0,1.0,1.0
Fear of Isolation,U,U,C-,4.0,C-,4.0,C,5.0,B,8.0,4.0,4.0,3.0
Floodpits Drowner,U,U,B-,7.0,C+,6.0,C+,6.0,B-,7.0,0.0,1.0,1.0
Get Out,U,U,D+,3.0,C,5.0,C,5.0,D,2.0,1.0,3.0,3.0
Paranormal Analyst,U,U,C+,6.0,C+,6.0,B-,7.0,B-,7.0,1.0,1.0,0.0
"Stay Hidden, Stay Silent",U,U,C+,6.0,C+,6.0,C+,6.0,B-,7.0,1.0,1.0,1.0
Cursed Windbreaker,U,U,C,5.0,C,5.0,C+,6.0,C+,6.0,1.0,1.0,0.0
Fear of Impostors,U,U,D+,3.0,C-,4.0,C+,6.0,C+,6.0,3.0,2.0,0.0
Unnerving Grasp,U,U,B-,7.0,C+,6.0,C+,6.0,B-,7.0,0.0,1.0,1.0
Unwilling Vessel,U,U,C,5.0,C,5.0,C+,6.0,C+,6.0,1.0,1.0,0.0
Ghostly Keybearer,U,U,D,2.0,C-,4.0,B-,7.0,D+,3.0,1.0,1.0,4.0
Fear of Failed Tests,U,U,D+,3.0,D,2.0,C-,4.0,D,2.0,1.0,0.0,2.0
Fear of Falling,U,U,C-,4.0,C+,6.0,C,5.0,B-,7.0,3.0,1.0,2.0
Duskmourn's Domination,U,U,B,8.0,D+,3.0,C,5.0,C,5.0,3.0,2.0,0.0
Silent Hallcreeper,U,R,A-,10.0,B,8.0,B+,9.0,B,8.0,2.0,0.0,1.0
Entity Tracker,U,R,C+,6.0,B+,9.0,B+,9.0,A-,10.0,4.0,1.0,1.0
The Mindskinner,U,R,B,8.0,C-,4.0,C-,4.0,D,2.0,6.0,2.0,2.0
The Tale of Tamiyo,U,R,C-,4.0,D+,3.0,D-,1.0,F,0.0,4.0,3.0,1.0
Central Elevator // Promising Stairs,U,R,G,0.0,D,2.0,D-,1.0,D+,3.0,3.0,1.0,2.0
Enduring Curiosity,U,R,A-,10.0,A,11.0,B+,9.0,B+,9.0,1.0,2.0,0.0
Leyline of Transformation,U,R,G,0.0,D-,1.0,G,0.0,F,0.0,0.0,1.0,0.0
Marina Vendrell's Grimoire,U,R,D-,1.0,D-,1.0,D-,1.0,F,0.0,1.0,1.0,1.0
Abhorrent Oculus,U,M,A-,10.0,B,8.0,A-,10.0,A,11.0,1.0,3.0,1.0
Mirror Room // Fractured Realm,U,M,C,5.0,C+,6.0,C,5.0,B+,9.0,4.0,3.0,4.0
Overlord of the Floodpits,U,M,A+,12.0,A-,10.0,B,8.0,A-,10.0,2.0,0.0,2.0
Fear of Lost Teeth,B,C,C+,6.0,D+,3.0,C-,4.0,C,5.0,1.0,2.0,1.0
Final Vengeance,B,C,C-,4.0,C-,4.0,C,5.0,C+,6.0,2.0,2.0,1.0
Give In to Violence,B,C,C-,4.0,C-,4.0,C+,6.0,D,2.0,2.0,2.0,4.0
Balemurk Leech,B,C,D+,3.0,C,5.0,C,5.0,D,2.0,1.0,3.0,3.0
Innocuous Rat,B,C,C-,4.0,C+,6.0,C,5.0,C+,6.0,2.0,0.0,1.0
Winter's Intervention,B,C,B,8.0,B-,7.0,C-,4.0,D+,3.0,5.0,4.0,1.0
Appendage Amalgam,B,C,C-,4.0,C,5.0,C-,4.0,C,5.0,1.0,0.0,1.0
Murder,B,C,C,5.0,C+,6.0,C,5.0,C,5.0,0.0,1.0,0.0
Resurrected Cultist,B,C,C-,4.0,D,2.0,C+,6.0,D+,3.0,1.0,1.0,3.0
Cackling Slasher,B,C,C,5.0,D+,3.0,D+,3.0,D-,1.0,4.0,2.0,2.0
Fanatic of the Harrowing,B,C,C+,6.0,C-,4.0,D+,3.0,D+,3.0,3.0,1.0,0.0
Fear of the Dark,B,C,C,5.0,C-,4.0,C+,6.0,D,2.0,3.0,2.0,4.0
Spectral Snatcher,B,C,C+,6.0,D+,3.0,C-,4.0,C,5.0,1.0,2.0,1.0
Valgavoth's Faithful,B,U,D+,3.0,C-,4.0,C,5.0,C+,6.0,3.0,2.0,1.0
Cynical Loner,B,U,C+,6.0,C-,4.0,C,5.0,C-,4.0,2.0,0.0,1.0
Nowhere to Run,B,U,B+,9.0,B+,9.0,C+,6.0,B,8.0,1.0,1.0,2.0
Osseous Sticktwister,B,U,B+,9.0,C+,6.0,B-,7.0,B-,7.0,2.0,1.0,0.0
Sporogenic Infection,B,U,C,5.0,B-,7.0,C+,6.0,B-,7.0,2.0,0.0,1.0
Commune with Evil,B,U,C,5.0,C,5.0,D+,3.0,C,5.0,0.0,0.0,2.0
Killer's Mask,B,U,C,5.0,D+,3.0,C+,6.0,C+,6.0,1.0,3.0,0.0
Popular Egotist,B,U,C+,6.0,C-,4.0,C,5.0,C+,6.0,0.0,2.0,1.0
Withering Torment,B,U,B,8.0,B,8.0,B-,7.0,C+,6.0,2.0,2.0,1.0
Dashing Bloodsucker,B,U,D+,3.0,C-,4.0,D+,3.0,C+,6.0,3.0,2.0,3.0
Let's Play a Game,B,U,D+,3.0,D-,1.0,C,5.0,D,2.0,1.0,1.0,3.0
Live or Die,B,U,C+,6.0,C+,6.0,B-,7.0,C,5.0,1.0,1.0,2.0
Miasma Demon,B,U,C+,6.0,C,5.0,C+,6.0,C,5.0,1.0,0.0,1.0
Vile Mutilator,B,U,C-,4.0,C,5.0,B-,7.0,B+,9.0,5.0,4.0,2.0
Demonic Counsel,B,R,D+,3.0,D-,1.0,D,2.0,D-,1.0,2.0,0.0,1.0
Come Back Wrong,B,R,B+,9.0,B-,7.0,B,8.0,B,8.0,1.0,1.0,0.0
Unholy Annex // Ritual Chamber,B,R,B,8.0,C+,6.0,B,8.0,A-,10.0,2.0,4.0,2.0
Unstoppable Slasher,B,R,B+,9.0,B-,7.0,B+,9.0,A-,10.0,1.0,3.0,1.0
Enduring Tenacity,B,R,C,5.0,C-,4.0,C-,4.0,C,5.0,0.0,1.0,1.0
Leyline of the Void,B,R,D,2.0,D-,1.0,D-,1.0,F,0.0,2.0,1.0,1.0
Grievous Wound,B,R,D,2.0,D+,3.0,B-,7.0,F,0.0,2.0,3.0,7.0
Doomsday Excruciator,B,R,D+,3.0,D,2.0,D,2.0,F,0.0,3.0,2.0,2.0
Funeral Room // Awakening Hall,B,M,C-,4.0,D+,3.0,D+,3.0,B-,7.0,3.0,4.0,4.0
Meathook Massacre II,B,M,D,2.0,C-,4.0,D,2.0,B-,7.0,5.0,3.0,5.0
Overlord of the Balemurk,B,M,A,11.0,C+,6.0,B,8.0,A,11.0,0.0,5.0,3.0
"Valgavoth, Terror Eater",B,M,C-,4.0,D+,3.0,C-,4.0,B,8.0,4.0,5.0,4.0
Clockwork Percussionist,R,C,C,5.0,C-,4.0,C-,4.0,C,5.0,0.0,1.0,1.0
Turn Inside Out,R,C,C-,4.0,C,5.0,C+,6.0,C,5.0,1.0,0.0,1.0
Grab the Prize,R,C,D+,3.0,C-,4.0,C-,4.0,D+,3.0,0.0,1.0,1.0
Hand That Feeds,R,C,C,5.0,C,5.0,C,5.0,D-,1.0,4.0,4.0,4.0
Ragged Playmate,R,C,D+,3.0,C+,6.0,C-,4.0,C,5.0,2.0,1.0,1.0
Glassworks // Shattered Yard,R,C,B,8.0,B-,7.0,C-,4.0,B-,7.0,1.0,0.0,3.0
Rampaging Soulrager,R,C,D+,3.0,C-,4.0,D-,1.0,C,5.0,2.0,1.0,4.0
Vicious Clown,R,C,D+,3.0,C-,4.0,D,2.0,C,5.0,2.0,1.0,3.0
Most Valuable Slayer,R,C,C+,6.0,C,5.0,C,5.0,B-,7.0,1.0,2.0,2.0
Ripchain Razorkin,R,C,C+,6.0,D+,3.0,D,2.0,D,2.0,4.0,1.0,0.0
Impossible Inferno,R,C,C,5.0,C-,4.0,C,5.0,C-,4.0,1.0,0.0,1.0
"Norin, Swift Survivalist",R,U,C,5.0,C+,6.0,C+,6.0,C+,6.0,1.0,0.0,0.0
Trial of Agony,R,U,B,8.0,C-,4.0,C,5.0,C+,6.0,2.0,2.0,1.0
Betrayer's Bargain,R,U,C+,6.0,C+,6.0,C+,6.0,C+,6.0,0.0,0.0,0.0
Irreverent Gremlin,R,U,B-,7.0,B-,7.0,C,5.0,B-,7.0,0.0,0.0,2.0
Piggy Bank,R,U,A-,10.0,C+,6.0,B-,7.0,C+,6.0,4.0,0.0,1.0
Untimely Malfunction,R,U,D,2.0,D+,3.0,C+,6.0,D,2.0,0.0,1.0,4.0
Fear of Being Hunted,R,U,C,5.0,C-,4.0,D+,3.0,B-,7.0,2.0,3.0,4.0
Painter's Studio // Defaced Gallery,R,U,B,8.0,C+,6.0,B,8.0,D+,3.0,5.0,3.0,5.0
Vengeful Possession,R,U,B-,7.0,D+,3.0,C,5.0,D+,3.0,4.0,0.0,2.0
Diversion Specialist,R,U,C+,6.0,C-,4.0,C-,4.0,C+,6.0,0.0,2.0,2.0
Infernal Phantom,R,U,C-,4.0,C+,6.0,D+,3.0,C,5.0,1.0,1.0,2.0
Razorkin Hordecaller,R,U,B-,7.0,C,5.0,C+,6.0,C+,6.0,1.0,1.0,0.0
Fear of Burning Alive,R,U,C+,6.0,C,5.0,C,5.0,B-,7.0,1.0,2.0,2.0
Chainsaw,R,R,B+,9.0,A-,10.0,B-,7.0,B-,7.0,2.0,3.0,0.0
Fear of Missing Out,R,R,B,8.0,B,8.0,B+,9.0,B+,9.0,1.0,1.0,0.0
Razorkin Needlehead,R,R,C+,6.0,C+,6.0,B-,7.0,C+,6.0,0.0,0.0,1.0
Cursed Recording,R,R,D,2.0,D-,1.0,D-,1.0,C+,6.0,4.0,5.0,5.0
Enduring Courage,R,R,A,11.0,B-,7.0,A,11.0,B+,9.0,2.0,2.0,2.0
Leyline of Resonance,R,R,D,2.0,D+,3.0,D,2.0,F,0.0,2.0,3.0,2.0
Waltz of Rage,R,R,B-,7.0,C-,4.0,A-,10.0,B+,9.0,2.0,5.0,1.0
Screaming Nemesis,R,M,A,11.0,B,8.0,A-,10.0,A-,10.0,1.0,2.0,0.0
The Rollercrusher Ride,R,M,B+,9.0,C+,6.0,D+,3.0,A,11.0,2.0,5.0,8.0
Charred Foyer // Warped Space,R,M,B,8.0,C-,4.0,D+,3.0,B,8.0,0.0,4.0,5.0
Overlord of the Boilerbilges,R,M,A+,12.0,B,8.0,A,11.0,A+,12.0,0.0,4.0,1.0
Flesh Burrower,G,C,C+,6.0,C+,6.0,C-,4.0,C,5.0,1.0,1.0,1.0
Horrid Vigor,G,C,C,5.0,C-,4.0,C-,4.0,D,2.0,3.0,2.0,2.0
Manifest Dread,G,C,C-,4.0,C,5.0,C+,6.0,C+,6.0,2.0,1.0,0.0
Say Its Name,G,C,C,5.0,C,5.0,C+,6.0,C+,6.0,1.0,1.0,0.0
Wary Watchdog,G,C,C,5.0,C-,4.0,C+,6.0,C,5.0,0.0,1.0,1.0
Cryptid Inspector,G,C,C-,4.0,C,5.0,C+,6.0,C+,6.0,2.0,1.0,0.0
Frantic Strength,G,C,D,2.0,C-,4.0,C+,6.0,D,2.0,0.0,2.0,4.0
Grasping Longneck,G,C,C,5.0,D+,3.0,D,2.0,C,5.0,0.0,2.0,3.0
Spineseeker Centipede,G,C,C+,6.0,B-,7.0,D+,3.0,C+,6.0,0.0,1.0,3.0
Anthropede,G,C,C,5.0,C,5.0,D+,3.0,D+,3.0,2.0,2.0,0.0
Cautious Survivor,G,C,C,5.0,C,5.0,D+,3.0,C-,4.0,1.0,1.0,1.0
Bashful Beastie,G,C,C,5.0,C-,4.0,D+,3.0,C+,6.0,1.0,2.0,3.0
Slavering Branchsnapper,G,C,C-,4.0,C-,4.0,C,5.0,C+,6.0,2.0,2.0,1.0
Coordinated Clobbering,G,U,B-,7.0,C,5.0,C,5.0,C+,6.0,1.0,1.0,1.0
Insidious Fungus,G,U,B,8.0,C+,6.0,C+,6.0,C+,6.0,2.0,0.0,0.0
Patchwork Beastie,G,U,C+,6.0,C-,4.0,C+,6.0,C+,6.0,0.0,2.0,0.0
Cathartic Parting,G,U,C-,4.0,C-,4.0,D+,3.0,C+,6.0,2.0,2.0,3.0
House Cartographer,G,U,C+,6.0,C+,6.0,C,5.0,C+,6.0,0.0,0.0,1.0
Overgrown Zealot,G,U,C,5.0,C+,6.0,C,5.0,B-,7.0,2.0,1.0,2.0
Break Down the Door,G,U,C,5.0,D+,3.0,C+,6.0,C+,6.0,1.0,3.0,0.0
Defiant Survivor,G,U,C,5.0,C+,6.0,B-,7.0,C,5.0,0.0,1.0,2.0
Fear of Exposure,G,U,C-,4.0,B-,7.0,B-,7.0,C,5.0,1.0,2.0,2.0
Greenhouse // Rickety Gazebo,G,U,D,2.0,C,5.0,D-,1.0,B-,7.0,5.0,2.0,6.0
Under the Skin,G,U,C+,6.0,C+,6.0,B-,7.0,B+,9.0,3.0,3.0,2.0
Threats Around Every Corner,G,U,C+,6.0,C,5.0,D+,3.0,B,8.0,2.0,3.0,5.0
Wickerfolk Thresher,G,U,B,8.0,C,5.0,C+,6.0,B-,7.0,1.0,2.0,1.0
Rootwise Survivor,G,U,C+,6.0,C-,4.0,C,5.0,B-,7.0,1.0,3.0,2.0
"Altanak, the Thrice-Called",G,U,C-,4.0,C,5.0,C+,6.0,C-,4.0,0.0,1.0,2.0
Valgavoth's Onslaught,G,R,A-,10.0,B,8.0,A-,10.0,A+,12.0,2.0,4.0,2.0
Twitching Doll,G,R,A,11.0,B+,9.0,A-,10.0,B+,9.0,2.0,0.0,1.0
Enduring Vitality,G,R,B+,9.0,B-,7.0,B-,7.0,B-,7.0,2.0,0.0,0.0
Omnivorous Flytrap,G,R,A,11.0,B-,7.0,B,8.0,B+,9.0,2.0,2.0,1.0
Hedge Shredder,G,R,B-,7.0,B+,9.0,B,8.0,C+,6.0,1.0,3.0,2.0
"Kona, Rescue Beastie",G,R,B,8.0,C,5.0,C-,4.0,C-,4.0,4.0,1.0,0.0
Leyline of Mutation,G,R,G,0.0,G,0.0,G,0.0,F,0.0,0.0,0.0,0.0
Balustrade Wurm,G,R,B+,9.0,B-,7.0,A-,10.0,A-,10.0,1.0,3.0,0.0
Hauntwoods Shrieker,G,M,A,11.0,B+,9.0,A+,12.0,A-,10.0,1.0,1.0,2.0
"Tyvar, the Pummeler",G,M,A-,10.0,B,8.0,A+,12.0,A+,12.0,2.0,4.0,0.0
Overlord of the Hauntwoods,G,M,A-,10.0,C+,6.0,B,8.0,B,8.0,2.0,2.0,0.0
Haunted Screen,M,U,D,2.0,C-,4.0,D,2.0,C,5.0,3.0,1.0,3.0
Gremlin Tamer,M,U,B,8.0,B-,7.0,B,8.0,B+,9.0,1.0,2.0,1.0
Inquisitive Glimmer,M,U,B,8.0,B+,9.0,B-,7.0,B,8.0,0.0,1.0,1.0
Skullsnap Nuisance,M,U,C+,6.0,C+,6.0,C+,6.0,B-,7.0,1.0,1.0,1.0
Fear of Infinity,M,U,B,8.0,B-,7.0,C,5.0,B-,7.0,1.0,0.0,2.0
Disturbing Mirth,M,U,C+,6.0,C,5.0,C,5.0,B-,7.0,1.0,2.0,2.0
Sawblade Skinripper,M,U,B,8.0,B-,7.0,C+,6.0,B-,7.0,1.0,0.0,1.0
Beastie Beatdown,M,U,B,8.0,B-,7.0,B-,7.0,C+,6.0,2.0,1.0,1.0
Wildfire Wickerfolk,M,U,B,8.0,B+,9.0,C+,6.0,C+,6.0,2.0,3.0,0.0
Baseball Bat,M,U,C-,4.0,C-,4.0,C,5.0,C+,6.0,2.0,2.0,1.0
Shrewd Storyteller,M,U,C,5.0,C+,6.0,C+,6.0,C+,6.0,1.0,0.0,0.0
Rite of the Moth,M,U,C+,6.0,C-,4.0,C,5.0,C+,6.0,0.0,2.0,1.0
Intruding Soulrager,M,U,B,8.0,C+,6.0,C,5.0,C+,6.0,2.0,0.0,1.0
Smoky Lounge // Misty Salon,M,U,D,2.0,C+,6.0,D+,3.0,B,8.0,6.0,2.0,5.0
Broodspinner,M,U,B,8.0,B+,9.0,B-,7.0,B+,9.0,1.0,0.0,2.0
Drag to the Roots,M,U,B,8.0,B,8.0,C+,6.0,B-,7.0,1.0,1.0,1.0
"Arabella, Abandoned Doll",M,U,C,5.0,C-,4.0,B-,7.0,B+,9.0,4.0,5.0,2.0
Midnight Mayhem,M,U,B+,9.0,B-,7.0,C+,6.0,B-,7.0,2.0,0.0,1.0
Growing Dread,M,U,B,8.0,B-,7.0,B,8.0,C+,6.0,2.0,1.0,2.0
Oblivious Bookworm,M,U,B+,9.0,B-,7.0,B,8.0,B+,9.0,0.0,2.0,1.0
Restricted Office // Lecture Hall,M,R,B,8.0,C-,4.0,B,8.0,C+,6.0,2.0,2.0,2.0
"Nashi, Searcher in the Dark",M,R,B+,9.0,B-,7.0,B-,7.0,B-,7.0,2.0,0.0,0.0
Undead Sprinter,M,R,A-,10.0,A,11.0,B-,7.0,B,8.0,2.0,3.0,1.0
Peer Past the Veil,M,R,C-,4.0,C-,4.0,C-,4.0,D+,3.0,1.0,1.0,1.0
"Rip, Spawn Hunter",M,R,B,8.0,C,5.0,B-,7.0,B-,7.0,1.0,2.0,0.0
"Victor, Valgavoth's Seneschal",M,R,B+,9.0,C+,6.0,B,8.0,B-,7.0,2.0,1.0,1.0
The Swarmweaver,M,R,A-,10.0,B,8.0,B+,9.0,A+,12.0,2.0,4.0,3.0
The Jolly Balloon Man,M,R,D,2.0,B-,7.0,C+,6.0,B-,7.0,5.0,0.0,1.0
"Zimone, All-Questioning",M,R,A-,10.0,C+,6.0,B,8.0,A-,10.0,0.0,4.0,2.0
"Winter, Misanthropic Guide",M,R,D,2.0,D,2.0,C-,4.0,D,2.0,0.0,0.0,2.0
"Niko, Light of Hope",M,M,A,11.0,A,11.0,B,8.0,A,11.0,0.0,0.0,3.0
"Kaito, Bane of Nightmares",M,M,A,11.0,A,11.0,A,11.0,B,8.0,3.0,3.0,3.0
Bear Trap,C,C,C-,4.0,D+,3.0,D,2.0,D+,3.0,1.0,0.0,1.0
Found Footage,C,C,D,2.0,D+,3.0,D-,1.0,D,2.0,0.0,1.0,1.0
Friendly Teddy,C,C,D-,1.0,D,2.0,D+,3.0,C-,4.0,3.0,2.0,1.0
Glimmerlight,C,C,C-,4.0,D+,3.0,D+,3.0,C,5.0,1.0,2.0,2.0
Malevolent Chandelier,C,C,D,2.0,D+,3.0,D-,1.0,D-,1.0,1.0,2.0,0.0
Bleeding Woods,C,C,C+,6.0,C+,6.0,C+,6.0,C+,6.0,0.0,0.0,0.0
Abandoned Campground,C,C,C+,6.0,C+,6.0,C+,6.0,C+,6.0,0.0,0.0,0.0
Etched Cornfield,C,C,C+,6.0,C+,6.0,C+,6.0,C+,6.0,0.0,0.0,0.0
Lakeside Shack,C,C,C+,6.0,C+,6.0,C+,6.0,C+,6.0,0.0,0.0,0.0
Murky Sewer,C,C,C+,6.0,C+,6.0,C+,6.0,C+,6.0,0.0,0.0,0.0
Neglected Manor,C,C,C+,6.0,C+,6.0,C+,6.0,C+,6.0,0.0,0.0,0.0
Peculiar Lighthouse,C,C,C+,6.0,C+,6.0,C+,6.0,C+,6.0,0.0,0.0,0.0
Raucous Carnival,C,C,B+,9.0,C+,6.0,C+,6.0,C+,6.0,3.0,0.0,0.0
Razortrap Gorge,C,C,C+,6.0,C+,6.0,C+,6.0,C+,6.0,0.0,0.0,0.0
Strangled Cemetery,C,C,C+,6.0,C+,6.0,C+,6.0,C+,6.0,0.0,0.0,0.0
Terramorphic Expanse,C,C,B-,7.0,C,5.0,B-,7.0,B-,7.0,0.0,2.0,0.0
Keys to the House,C,U,D+,3.0,C-,4.0,D+,3.0,D-,1.0,2.0,3.0,2.0
Saw,C,U,D+,3.0,D,2.0,D-,1.0,D,2.0,1.0,0.0,1.0
Attack-in-the-Box,C,U,D+,3.0,D+,3.0,D,2.0,C-,4.0,1.0,1.0,2.0
Conductive Machete,C,U,D+,3.0,D+,3.0,C-,4.0,C,5.0,2.0,2.0,1.0
Ghost Vacuum,C,R,C-,4.0,D-,1.0,C+,6.0,C+,6.0,2.0,5.0,0.0
"Marvin, Murderous Mimic",C,R,D,2.0,C-,4.0,C,5.0,C-,4.0,2.0,0.0,1.0
Dissection Tools,C,R,D+,3.0,C-,4.0,C-,4.0,A+,12.0,9.0,8.0,8.0
Blazemire Verge,C,R,B-,7.0,B-,7.0,B-,7.0,C+,6.0,1.0,1.0,1.0
Floodfarm Verge,C,R,B-,7.0,B-,7.0,B-,7.0,C+,6.0,1.0,1.0,1.0
Gloomlake Verge,C,R,B-,7.0,B-,7.0,B-,7.0,C+,6.0,1.0,1.0,1.0
Hushwood Verge,C,R,B-,7.0,B-,7.0,B-,7.0,C+,6.0,1.0,1.0,1.0
Thornspire Verge,C,R,B-,7.0,B-,7.0,B-,7.0,C+,6.0,1.0,1.0,1.0
Valgavoth's Lair,C,R,B-,7.0,C,5.0,B-,7.0,C+,6.0,1.0,1.0,1.0
Possessed Goat,W,C,D,2.0,D+,3.0,D-,1.0,D,2.0,0.0,1.0,1.0
Seized from Slumber,W,C,C-,4.0,C-,4.0,C,5.0,C+,6.0,2.0,2.0,1.0
Dazzling Theater // Prop Room,W,R,G,0.0,D+,3.0,C-,4.0,F,0.0,0.0,3.0,4.0
Underwater Tunnel // Slimy Aquarium,U,C,C+,6.0,C+,6.0,C,5.0,D+,3.0,3.0,3.0,2.0
Don't Make a Sound,U,C,C,5.0,C-,4.0,C,5.0,D,2.0,3.0,2.0,3.0
Meat Locker // Drowned Diner,U,C,B,8.0,B-,7.0,C+,6.0,C+,6.0,2.0,1.0,0.0
Glimmerburst,U,C,C+,6.0,C,5.0,C-,4.0,C,5.0,1.0,0.0,1.0
Cracked Skull,B,C,C,5.0,D+,3.0,D+,3.0,C,5.0,0.0,2.0,2.0
Defiled Crypt // Cadaver Lab,B,U,B,8.0,C-,4.0,C-,4.0,C+,6.0,2.0,2.0,2.0
Scorching Dragonfire,R,C,C,5.0,B,8.0,B-,7.0,B,8.0,3.0,0.0,1.0
Ticket Booth // Tunnel of Hate,R,C,C+,6.0,C+,6.0,C-,4.0,D,2.0,4.0,4.0,2.0
Boilerbilges Ripper,R,C,C+,6.0,D+,3.0,D+,3.0,D,2.0,4.0,1.0,1.0
