Name,Notes,Nate,Color
Vein Ripper,"Hard to cast, but insanely good and must be removed on sight at the cost of a creature, a removal spell, and 2 life drained. I love it, goes down a full tier because triple black",B-,B
,,,
Connecting the Dots,"A bit slow, but a decent value engine for the lategame if you're an attacking deck",C,R
Expedited Inheritance,This being symmetrical makes it so much worse,D-,R
Fugitive Codebreaker,"Both halves of this are pretty good, you staple them together and I like it- not likely to win the game by itself though",B-,R
Pyrotechnic Performer,I really like this guy- good by himself and crazy in a disguise-heavy deck,B,R
Case of the Crimson Pulse,I like this quite a bit in a red deck- card selection that becomes pure card draw if you play this in the late game/with no cards in hand and lets you draw 2 cards a turn pretty easily,B,R
"Krenko, Baron of Tin Street","3 mana 3/3 haste with upside- just very solid all around, insane in the artifact sac deck AND has some fun infinites in commander",B,R
Lamplight Phoenix,"3 mana 3/3 flying with recursion is quite good- the recursion isn't too bad to make happen, either",B+,R
Krenko's Buzzcrusher,"This reads ""2RR, 4/4 flying trample"". That is still a good statline",B,R
Anzrag's Rampage,Bad card is bad,G,R
Incinerator of the Guilty,"If this thing hits you, it's a Plague Wind. Busted busted busted busted. Remove on sight or die. 6 mana is a touch slow, though",A,R
,,,
Analyze the Pollen,"Tutors a land early or a creature late, not bad but not great",B-,G
Sharp-Eyed Rookie,"Bear that grows on you playing other creatures, makes clues to draw you more cards, AND has vig? I'm diggity down. Does not win the game by itself",B+,G
Archdruid's Charm,"Triple green hurts a ton, but the flexibility is nice",C+,G
Audience with Trostani,Awful awful awful awful. I am probably never playing this and WILL be sad when I open it in any draft/prerelease,G,G
Undergrowth Recon,"Unplayable in limited, interesting for commander",G,G
Hide in Plain Sight,"4 mana for 2 2/2 ward 2 creatures that you can flip at any time if you want? This is drawing 2 cards AND playing them with disguise for 2 mana each, yes please",A-,G
Axebane Ferox,"Looks about as rock solid as it gets, does not have reach though",B-,G
Case of the Locked Hothouse,"Unplayable in limited, interesting for commander",G,G
The Pride of Hull Clade,"This is my new sidequest, I love him and he doesn't actually seem that bad- if you can get this down to like 4-5 mana I'm super down for this (with some hopium included)",C+,G
,,,
Officious Interrogation,"Wierdly, I kinda like this. Gas if you have more creatures, a mana sink, and some value if your opponent has more creatures. Does not save you if you're behind at all, though.",C+,M
"Alquist Proft, Master Sleuth","Sphinx's Rev on a 3 mana 3/3 vig stick that also makes a clue? Seems pretty good to me, does need some building around to make the most of but just good on its own. (build around B+)",B,M
"Ezrim, Agency Chief","I want this to be a Bloodletter of Aclazotz-type card, but it just isn't quite that powerful. Four colored symbols hurts so bad. (please prove me wrong, I want this to be good)",B-,M
Drag the Canal,"A bear with flash and upside- seems good, but nothing overly insane",C+,M
"Lazav, Wearer of Faces","Overstatted, makes clues on attacks, and gives sac-ing clues more value- I like all of these things. Put it all together and it's quite solid.",B,M
"Etrata, Deadly Fugitive",Really gives OP some hard choices- either trade a creature off OR I get another creature every time it hits you. Also blocks well and has some nice value with cloaked spells.,B,M
Blood Spatter Analysis,Hard to cast Lightning Strike. Mid.,C-,M
"Judith, Carnage Connoisseur","In the right deck, this can be really strong as a value engine. Otherwise, it's a 5-mana 3/4 no text, which is just not good enough. (build around B)",C-,M
"Rakdos, Patron of Chaos","A bomb and a half. Must be removed on sight or you pretty much lose on the spot or next to it. 6 mana does hurt a little, though.",A,M
Worldsoul's Rage,"This usually deals X damage to any target, X is number of lands you have minus 2. Pretty deece",B-,M
"Yarus, Roar of the Gods","I love this guy. Solid stats, you play as many disguise cards as you can and either they hit OP and draw you a card OR they die and you flip them for free- both are great. Just okay without disguise creatures (build around A)",B,M
"Anzrag, the Quake-Mole","Fun, but a little win more and no keywords hurts quite a bit. Overstatted gets some points back, though",B-,M
"Trostani, Three Whispers","Hard to cast hurts it quite a bit, but a 3 mana 4/4 with flexible upside is quite powerful for 3 mana and giving deathtouch, vig, and double strike is all good, this could be better than I'm giving it credit for",B-,M
"Tolsimir, Midnight's Light","Good total stats, 2 bodies, good keywords, and decent upside is all nice- he is pretty hard to cast, though, which takes him down quite a bit",C+,M
Relive the Past,Stone unplayable. End of discussion.,G,M
"Teysa, Opulent Oligarch","Man, they did my girl dirty for commander. In limited, she's crazy good. A value engine for hitting your opponent and giving you 1/1 flyers for sac-ing clues even if you don't hit OP plus overstatted AND deathtouch. Love it.",A-,M
Treacherous Greed,"If you can ever cast this, it's probably good. Good luck casting it, though.",G,M
"Kaya, Spirits' Justice","Why did they pick this terrible character to be the planeswalker for this set? Sigh... Anyways, she protects herself with a +1, only costs 4, and is removal if you want it or a value engine. She's stupidly good.",A,M
Kylox's Voltstrider,"3 mana 4/4 crew 2 that can also give you free spells? I like it, not too crazy but free spells are good",B,M
Ill-Timed Explosion,"4 mana draw 2, optional wrath- very interesting, I kinda like it but it's nowhere close to the other wraths since it needs other cards",B-,M
"Kylox, Visionary Inventor","This is fun for commander, but 7 mana 4/4 menace, ward 2, haste is just good enough in limited. The other ability may as well not exist, I am not sac-ing a creature to MAYBE get a free spell that's like a 1 in 5.",D-,M
Assassin's Trophy,"This was standard playable 10 years ago. Emphasis on the 10 years ago. Gives your opponent way too much value in the early game, but hard to cast 2 mana hard removal for any permanent in the late game isn't the worst",D-,M
Urgent Necropsy,"In the right deck, this can approach Plague Wind levels of backbreaking. Otherwise, this needs a lot of help and usually is just 4 mana, instant, murder with extra requirements. Still pretty decent overall, though",B-,M
"Izoni, Center of the Web","IF you can collect evidence, I'm a slight fan. Lots of stats and menace and 2 reachers for 6 mana is pretty good, can also print more tokens on attacks. Nothing super bomby, though, so this is just fine.",B-,M
Warleader's Call,"This is impact tremors + an anthem for 3 mana. Not bad for an aggro deck or breaking boardstalls, does not win the game by itself though or help when you are on the back foot.",B-,M
"Agrus Kos, Spirit of Justice","I don't really get this guy, but I think he'll be pretty bomby. Might honestly be an A, I just don't get it yet",B+,M
"Aurelia, the Law Above","In the right deck, she will win the game by herself. Even on her own, 5 mana 4/4 flying, vig, haste is very strong- I am very interested in playing her",A-,M
Doppelgang,"Crackle with Power this is not. Just too slow for limited, will be cool in the right Commander deck.",G,M
"Kellan, Inquisitive Prodigy","The adventure is pretty mid, but 4 mana 3/4 flying vig with upside is rock solid. Staple the two on one card, and I like it, but not as much as LCI's Kellan",B-,M
"Vannifar, Evolved Enigma","I guess it turns extra cards into cloaked creatures? I don't get it, this feels like card disadvantage to get to cloak your big creatures or topdecks?? Someone's gonna have to convince me on this one",C,M
Leyline of the Guildpact,"Uh.... so this will be great in the 5 color good stuff deck, and exactly nowhere else. ",D,M
"Niv-Mizzet, Guildpact","Okay, this is an... okay reason to be 5 colors. I like him, he'll be a ton of fun in Commander, but in limited? I hope the 5 color deck works, if it does I am super down for this, otherwise like you just can't ever cast this. (build around B)",D-,M
,,,
Cryptex,"Too slow to be real ramp, this will probably play like a worse Treasure Map in LCI",D+,C
Commercial District,"All of these lands will probably play fine, but not great- they aren't man lands",C,L
Elegant Parlor,',C,L
Hedge Maze,',C,L
Lush Portico,',C,L
Meticulous Archive,',C,L
Raucous Theater,',C,L
Shadowy Backstreet,',C,L
Thundering Falls,',C,L
Undercity Sewers,',C,L
Underground Mortuary,',C,L
