Name,Notes,Josh,Color
Flourishing Bloom-Kin,"Phenomenal in mono-green, but I'm not sure how good that deck will be.",D,G
Case of the Trampled Garden,,B-,G
Pompous Gadabout,Verdant Outrider but more specific.,D+,G
Sample Collector,"Good for BG, hard to repeat for very long.",D,G
Chalk Outline,Feels like a build around card--on its face it's a four mana do nothing.,D,G
Greenbelt Radical,7 mana finisher. ,B-,G
A Killer Among Us,"This card sure will be fun, but is it good? ...only attacking creatures",C-,G
Culvert Ambusher,,C-,G
Glint Weaver,"Really expensive, but helps stabilize",D+,G
,,,
No More Lies,This is a counterspell before turn 6 usually.,B-,M
Private Eye,,C+,M
Curious Cadaver,,B-,M
Coerced to Kill,,B,M
Rune-Brand Juggler,,B-,M
Deadly Complication,,C+,M
Break Out,,C,M
Tin Street Gossip,,B,M
Sumala Sentry,A lot of mana to even get the first trigger,C+,M
Buried in the Garden,Slam that shit into my Calix deck.,C,M
Soul Search,,C+,M
Wispdrinker Vampire,,B,M
Gleaming Geardrake,,B-,M
Detective's Satchel,,C-,M
Insidious Roots,One ore more hurts here. It doesn't seem like there are that man creature tokens to take advantage of this either,D,M
Kraul Whipcracker,"It feels like this will usually just be destroying a clue, which may be good but doesn't seem like that much.",C,M
Lightning Helix,Fewer decks but very nice.,B,M
Meddling Youths,A+ flavor.,C+,M
Evidence Examiner,Probably don't even want to collect evidence with this ability as it will limit the ones that actually do things,C-,M
Repulsive Mutation,Simic counterspell??,B-,M
Push // Pull,Sorcery speed really hurts push.,C+,M
Hustle // Bustle,"Removal for smaller creatures I guess, finisher on the other end is quite good if your board state is good",C,M
Cease // Desist,"I really can't see using this for anything but the channel--the ""wrath"" is expensive and narrow.",C-,M
Fuss // Bother,Evaluating these dual cards is tough.,C,M
Flotsam // Jetsam,Good for collect evidence.,C+,M
,,,
Case of the Shattered Pact,"Bad fixing if not in five colors, great with five colors. Hydrib symbols might get this over the line in some decks; probably shouldn't play unless it can be solved.",D+,C
Lumbering Laundry,A+ flavor text.,D,C
Magnetic Snuffler,All of the equipment seems pretty bad,D,C
Branch of Vitu-Ghazi,"Flexible land/creature slot as a fake out, minor flood insurance",C+,L
Scene of the Crime,Worse than the common one,D-,L
