Name,Rating,Color,Rarity,Notes
Take Out the Trash,B-,R,C,
Whiskerquill Scribe,C+,R,C,
Agate Assault,C,R,C,
Kindlespark Duo,C-,R,C,
Roughshod Duo,C+,R,C,
Alania's Pathmaker,C,R,C,
Frilled Sparkshooter,C-,R,C,
Conduct Electricity,C-,R,C,
Rockface Village,C-,R,U,
Blacksmith's Talent,C-,R,U,
Heartfire Hero,C+,R,U,
Blooming Blast,B,R,U,
Brazen Collector,C+,R,U,
Coruscation Mage,C,R,U,
Flamecache Gecko,C,R,U,
Hoarder's Overflow,D,R,U,
Playful Shove,C+,R,U,
Rabid Gnaw,B-,R,U,
Harnesser of Storms,D+,R,U,
Valley Rally,D+,R,U,
Wildfire Howl,D+,R,U,
Brambleguard Captain,C-,R,U,
Teapot Slinger,C-,R,U,
Quaketusk Boar,C+,R,U,
Reptilian Recruiter,C-,R,U,
Hired Claw,C,R,R,
Artist's Talent,D+,R,R,
Emberheart Challenger,B-,R,R,
Manifold Mouse,C-,R,R,
Byway Barterer,B,R,R,
Hearthborn Battler,B-,R,R,
Valley Flamecaller,B,R,R,
Sunspine Lynx,C,R,R,
Festival of Embers,D+,R,R,
Stormsplitter,D+,R,M,
"Dragonhawk, Fate's Tempest",A-,R,M,
Season of the Bold,B+,R,M,
High Stride,C-,G,C,
Longstalk Brawl,C+,G,C,
Sunshower Druid,D+,G,C,
Bakersbane Duo,C+,G,C,
Cache Grab,C,G,C,
Three Tree Rootweaver,B-,G,C,
Druid of the Spade,C+,G,C,
Heaped Harvest,D+,G,C,
Stickytongue Sentinel,C,G,C,
Polliwallop,C+,G,C,
Rust-Shield Rampager,C-,G,C,
Treeguard Duo,C,G,C,
Treetop Sentries,C,G,C,
Bark-Knuckle Boxer,C+,G,U,
Bushy Bodyguard,C+,G,U,
Oakhollow Village,C+,G,U,
Hunter's Talent,B-,G,U,
Overprotect,C+,G,U,
Pawpatch Formation,C,G,U,
Peerless Recycling,C,G,U,
Stocking the Pantry,D,G,U,
Three Tree Scribe,C+,G,U,
Wear Down,D,G,U,
Brambleguard Veteran,B-,G,U,
Clifftop Lookout,C+,G,U,
Curious Forager,C+,G,U,
Hazardroot Herbalist,D+,G,U,
Honored Dreyleader,C+,G,U,
Hivespine Wolverine,C-,G,U,
Galewind Moose,C,G,U,
For the Common Good,D+,G,R,
Mistbreath Elder,D-,G,R,
Pawpatch Recruit,C+,G,R,
Valley Mightcaller,B,G,R,
Innkeeper's Talent,C,G,R,
Keen-Eyed Curator,B+,G,R,
Tender Wildguide,B-,G,R,
Thornvault Forager,B,G,R,
Scrapshooter,C+,G,R,
Fecund Greenshell,C+,G,R,
"Lumra, Bellow of the Woods",B-,G,M,
Season of Gathering,B-,G,M,
Hidden Grotto,C-,C,C,
Fountainport Bell,C,C,C,
Bumbleflower's Sharepot,D,C,C,
Three Tree Mascot,C-,C,C,
Barkform Harvester,D+,C,C,
Uncharted Haven,C,C,U,
Heirloom Epic,C-,C,U,
Short Bow,D+,C,U,
Patchwork Banner,C-,C,U,
Tangle Tumbler,D+,C,U,
Starforged Sword,D-,C,U,
Fountainport,C-,C,R,
Three Tree City,C-,C,R,
Seedpod Squire,C,M,C,
Mind Drill Assailant,D+,M,C,
Cindering Cutthroat,C-,M,C,
Junkblade Bruiser,C+,M,C,
Head of the Homestead,C+,M,C,
Moonrise Cleric,C,M,C,
Tempest Angler,C,M,C,
Corpseberry Cultivator,C+,M,C,
Veteran Guardmouse,C,M,C,
Pond Prophet,C+,M,C,
Plumecreed Mentor,C,M,U,
Tidecaller Mentor,C+,M,U,
Fireglass Mentor,C+,M,U,
Wandertale Mentor,C+,M,U,
Burrowguard Mentor,B-,M,U,
Starseer Mentor,C-,M,U,
Stormcatch Mentor,C,M,U,
Vinereap Mentor,B-,M,U,
Seedglaive Mentor,C+,M,U,
Lilysplash Mentor,C-,M,U,
Fabled Passage,C,M,R,
"Kastral, the Windcrested",C+,M,R,
"Vren, the Relentless",B+,M,R,
"Gev, Scaled Scorch",C+,M,R,
"Muerra, Trash Tactician",B-,M,R,
"Finneas, Ace Archer",C+,M,R,
Lunar Convocation,C-,M,R,
"Zoraline, Cosmos Caller",B,M,R,
"Alania, Divergent Storm",C+,M,R,
"Camellia, the Seedmiser",B+,M,R,
"Mabel, Heir to Cragflame",B-,M,R,
"Clement, the Worrywort",C+,M,R,
Dreamdew Entrancer,C+,M,R,
"Baylen, the Haymaker",C-,M,R,
The Infamous Cruelclaw,B,M,M,
"Hugs, Grisly Guardian",B-,M,M,
"Ral, Crackling Wit",B,M,M,
"Ygra, Eater of All",B+,M,M,
"Helga, Skittish Seer",C-,M,M,
"Glarb, Calamity's Augur",C,M,M,
