Name,Color,Rarity,Kevin,Kevin_num,Nate,Nate_num,Josh,Josh_num,Tier,Tier_num,Kevin_error,Nate_error,Josh_error
Ruthless Negotiation,B,U,C,5.0,D+,3.0,D+,3.0,C+,6.0,1.0,3.0,3.0
Bandit's Talent,B,U,D+,3.0,C-,4.0,C+,6.0,D,2.0,1.0,2.0,4.0
Feed the Cycle,B,U,B-,7.0,B,8.0,B,8.0,B,8.0,1.0,0.0,0.0
Fell,B,U,B-,7.0,B-,7.0,B-,7.0,B,8.0,1.0,1.0,1.0
Persistent Marshstalker,B,U,C,5.0,C,5.0,C,5.0,B-,7.0,2.0,2.0,2.0
Stargaze,B,U,D+,3.0,C-,4.0,C,5.0,C-,4.0,1.0,0.0,1.0
Starscape Cleric,B,U,C-,4.0,C+,6.0,C-,4.0,C+,6.0,2.0,0.0,2.0
Consumed by Greed,B,U,C-,4.0,C+,6.0,B-,7.0,B,8.0,4.0,2.0,1.0
Moonstone Harbinger,B,U,C,5.0,C,5.0,C-,4.0,C,5.0,0.0,0.0,1.0
Thought-Stalker Warlock,B,U,B,8.0,B-,7.0,C+,6.0,A-,10.0,2.0,3.0,4.0
Downwind Ambusher,B,U,C+,6.0,C-,4.0,C+,6.0,B+,9.0,3.0,5.0,3.0
Hazel's Nocturne,B,U,C,5.0,D+,3.0,C,5.0,C+,6.0,1.0,3.0,1.0
Sinister Monolith,B,U,C-,4.0,D,2.0,D-,1.0,D-,1.0,3.0,1.0,0.0
Wick's Patrol,B,U,B+,9.0,C-,4.0,C-,4.0,A-,10.0,1.0,6.0,6.0
Huskburster Swarm,B,U,B-,7.0,C,5.0,C,5.0,C+,6.0,1.0,1.0,1.0
Iridescent Vinelasher,B,R,C+,6.0,C,5.0,B,8.0,B-,7.0,1.0,2.0,1.0
Scavenger's Talent,B,R,B,8.0,D,2.0,C,5.0,C+,6.0,2.0,4.0,1.0
Cruelclaw's Heist,B,R,B-,7.0,C,5.0,C,5.0,C+,6.0,1.0,1.0,1.0
Osteomancer Adept,B,R,B+,9.0,B+,9.0,B,8.0,B,8.0,1.0,1.0,0.0
Valley Rotcaller,B,R,B,8.0,B-,7.0,A-,10.0,A-,10.0,2.0,3.0,0.0
Darkstar Augur,B,R,G,0.0,B-,7.0,B-,7.0,B+,9.0,9.0,2.0,2.0
"Wick, the Whorled Mind",B,R,C+,6.0,D+,3.0,B+,9.0,C+,6.0,0.0,3.0,3.0
Coiling Rebirth,B,R,C,5.0,C-,4.0,B-,7.0,C,5.0,0.0,1.0,2.0
"Maha, Its Feathers Night",B,M,A,11.0,A+,12.0,A,11.0,A+,12.0,1.0,0.0,1.0
Season of Loss,B,M,B+,9.0,A-,10.0,A-,10.0,A+,12.0,3.0,2.0,2.0
Rottenmouth Viper,B,M,A-,10.0,B,8.0,B+,9.0,A,11.0,1.0,3.0,2.0
Might of the Meek,R,C,C+,6.0,C+,6.0,D,2.0,C-,4.0,2.0,2.0,2.0
War Squeak,R,C,D+,3.0,C-,4.0,D+,3.0,D,2.0,1.0,2.0,1.0
Raccoon Rallier,R,C,C,5.0,C,5.0,D+,3.0,D+,3.0,2.0,2.0,0.0
Sazacap's Brew,R,C,C-,4.0,C,5.0,C-,4.0,D+,3.0,1.0,2.0,1.0
Steampath Charger,R,C,D+,3.0,C,5.0,D+,3.0,D+,3.0,0.0,2.0,0.0
Take Out the Trash,R,C,B-,7.0,B-,7.0,C+,6.0,B-,7.0,0.0,0.0,1.0
Whiskerquill Scribe,R,C,C+,6.0,C+,6.0,C-,4.0,D+,3.0,3.0,3.0,1.0
Agate Assault,R,C,C+,6.0,C,5.0,C-,4.0,C-,4.0,2.0,1.0,0.0
Kindlespark Duo,R,C,D+,3.0,C-,4.0,C,5.0,D-,1.0,2.0,3.0,4.0
Roughshod Duo,R,C,C+,6.0,C+,6.0,C-,4.0,C-,4.0,2.0,2.0,0.0
Alania's Pathmaker,R,C,C,5.0,C,5.0,D+,3.0,C,5.0,0.0,0.0,2.0
Frilled Sparkshooter,R,C,C+,6.0,C-,4.0,C+,6.0,D+,3.0,3.0,1.0,3.0
Conduct Electricity,R,C,C-,4.0,C-,4.0,D+,3.0,D+,3.0,1.0,1.0,0.0
Rockface Village,R,U,C+,6.0,C-,4.0,C+,6.0,C-,4.0,2.0,0.0,2.0
Blacksmith's Talent,R,U,C,5.0,C-,4.0,D-,1.0,C+,6.0,1.0,2.0,5.0
Heartfire Hero,R,U,B-,7.0,C+,6.0,C+,6.0,B,8.0,1.0,2.0,2.0
Blooming Blast,R,U,C+,6.0,B,8.0,C-,4.0,C-,4.0,2.0,4.0,0.0
Brazen Collector,R,U,B-,7.0,C+,6.0,C+,6.0,C+,6.0,1.0,0.0,0.0
Coruscation Mage,R,U,C,5.0,C,5.0,C+,6.0,C+,6.0,1.0,1.0,0.0
Flamecache Gecko,R,U,C,5.0,C,5.0,C+,6.0,B-,7.0,2.0,2.0,1.0
Hoarder's Overflow,R,U,C+,6.0,D,2.0,D+,3.0,D-,1.0,5.0,1.0,2.0
Playful Shove,R,U,C+,6.0,C+,6.0,D+,3.0,C+,6.0,0.0,0.0,3.0
Rabid Gnaw,R,U,B-,7.0,B-,7.0,C+,6.0,B+,9.0,2.0,2.0,3.0
Harnesser of Storms,R,U,C+,6.0,D+,3.0,C,5.0,D+,3.0,3.0,0.0,2.0
Valley Rally,R,U,C,5.0,D+,3.0,D+,3.0,D+,3.0,2.0,0.0,0.0
Wildfire Howl,R,U,D+,3.0,D+,3.0,C+,6.0,D+,3.0,0.0,0.0,3.0
Brambleguard Captain,R,U,B-,7.0,C-,4.0,C,5.0,C+,6.0,1.0,2.0,1.0
Teapot Slinger,R,U,C,5.0,C-,4.0,C,5.0,C-,4.0,1.0,0.0,1.0
Quaketusk Boar,R,U,B-,7.0,C+,6.0,C+,6.0,B-,7.0,0.0,1.0,1.0
Reptilian Recruiter,R,U,D+,3.0,C-,4.0,C,5.0,C,5.0,2.0,1.0,0.0
Hired Claw,R,R,C+,6.0,C,5.0,A-,10.0,B+,9.0,3.0,4.0,1.0
Artist's Talent,R,R,C,5.0,D+,3.0,D-,1.0,F,0.0,5.0,3.0,1.0
Emberheart Challenger,R,R,B+,9.0,B-,7.0,B,8.0,A-,10.0,1.0,3.0,2.0
Manifold Mouse,R,R,B+,9.0,C-,4.0,A,11.0,A,11.0,2.0,7.0,0.0
Byway Barterer,R,R,B-,7.0,B,8.0,B+,9.0,B-,7.0,0.0,1.0,2.0
Hearthborn Battler,R,R,C+,6.0,B-,7.0,B-,7.0,C+,6.0,0.0,1.0,1.0
Valley Flamecaller,R,R,B,8.0,B,8.0,B,8.0,B,8.0,0.0,0.0,0.0
Sunspine Lynx,R,R,B,8.0,C,5.0,B,8.0,D+,3.0,5.0,2.0,5.0
Festival of Embers,R,R,B-,7.0,D+,3.0,D+,3.0,F,0.0,7.0,3.0,3.0
Stormsplitter,R,M,D,2.0,D+,3.0,C-,4.0,D,2.0,0.0,1.0,2.0
"Dragonhawk, Fate's Tempest",R,M,A+,12.0,A-,10.0,A,11.0,A,11.0,1.0,1.0,0.0
Season of the Bold,R,M,C,5.0,B+,9.0,C+,6.0,C+,6.0,1.0,3.0,0.0
High Stride,G,C,C-,4.0,C-,4.0,D,2.0,C,5.0,1.0,1.0,3.0
Longstalk Brawl,G,C,C+,6.0,C+,6.0,C+,6.0,C,5.0,1.0,1.0,1.0
Sunshower Druid,G,C,C-,4.0,D+,3.0,B-,7.0,C,5.0,1.0,2.0,2.0
Bakersbane Duo,G,C,C+,6.0,C+,6.0,C+,6.0,B-,7.0,1.0,1.0,1.0
Cache Grab,G,C,C,5.0,C,5.0,C-,4.0,B,8.0,3.0,3.0,4.0
Three Tree Rootweaver,G,C,C+,6.0,B-,7.0,C,5.0,C-,4.0,2.0,3.0,1.0
Druid of the Spade,G,C,C,5.0,C+,6.0,C,5.0,C-,4.0,1.0,2.0,1.0
Heaped Harvest,G,C,C-,4.0,D+,3.0,D-,1.0,C,5.0,1.0,2.0,4.0
Stickytongue Sentinel,G,C,C-,4.0,C,5.0,D-,1.0,C+,6.0,2.0,1.0,5.0
Polliwallop,G,C,C+,6.0,C+,6.0,C+,6.0,C+,6.0,0.0,0.0,0.0
Rust-Shield Rampager,G,C,C+,6.0,C-,4.0,C-,4.0,C-,4.0,2.0,0.0,0.0
Treeguard Duo,G,C,C+,6.0,C,5.0,D+,3.0,C+,6.0,0.0,1.0,3.0
Treetop Sentries,G,C,C-,4.0,C,5.0,D,2.0,C,5.0,1.0,0.0,3.0
Bark-Knuckle Boxer,G,U,C+,6.0,C+,6.0,C-,4.0,C+,6.0,0.0,0.0,2.0
Bushy Bodyguard,G,U,B+,9.0,C+,6.0,B-,7.0,C+,6.0,3.0,0.0,1.0
Oakhollow Village,G,U,C,5.0,C+,6.0,C+,6.0,C,5.0,0.0,1.0,1.0
Hunter's Talent,G,U,C+,6.0,B-,7.0,C+,6.0,A-,10.0,4.0,3.0,4.0
Overprotect,G,U,C+,6.0,C+,6.0,C+,6.0,B-,7.0,1.0,1.0,1.0
Pawpatch Formation,G,U,C+,6.0,C,5.0,D+,3.0,C+,6.0,0.0,1.0,3.0
Peerless Recycling,G,U,C+,6.0,C,5.0,C+,6.0,D,2.0,4.0,3.0,4.0
Stocking the Pantry,G,U,C,5.0,D,2.0,D+,3.0,C,5.0,0.0,3.0,2.0
Three Tree Scribe,G,U,C+,6.0,C+,6.0,D,2.0,C+,6.0,0.0,0.0,4.0
Brambleguard Veteran,G,U,C+,6.0,B-,7.0,C+,6.0,C+,6.0,0.0,1.0,0.0
Clifftop Lookout,G,U,B-,7.0,C+,6.0,D+,3.0,D+,3.0,4.0,3.0,0.0
Curious Forager,G,U,C+,6.0,C+,6.0,B-,7.0,C+,6.0,0.0,0.0,1.0
Hazardroot Herbalist,G,U,D+,3.0,D+,3.0,C,5.0,D,2.0,1.0,1.0,3.0
Honored Dreyleader,G,U,D+,3.0,C+,6.0,C+,6.0,C,5.0,2.0,1.0,1.0
Hivespine Wolverine,G,U,B,8.0,C-,4.0,C+,6.0,B-,7.0,1.0,3.0,1.0
Galewind Moose,G,U,B-,7.0,C,5.0,B-,7.0,C+,6.0,1.0,1.0,1.0
For the Common Good,G,R,C+,6.0,D+,3.0,D-,1.0,D+,3.0,3.0,0.0,2.0
Mistbreath Elder,G,R,B,8.0,D-,1.0,B,8.0,B-,7.0,1.0,6.0,1.0
Pawpatch Recruit,G,R,B-,7.0,C+,6.0,B,8.0,B+,9.0,2.0,3.0,1.0
Valley Mightcaller,G,R,B-,7.0,B,8.0,B+,9.0,A-,10.0,3.0,2.0,1.0
Innkeeper's Talent,G,R,B,8.0,C,5.0,B-,7.0,A+,12.0,4.0,7.0,5.0
Keen-Eyed Curator,G,R,C+,6.0,B+,9.0,B+,9.0,B,8.0,2.0,1.0,1.0
Tender Wildguide,G,R,B,8.0,B-,7.0,B-,7.0,A-,10.0,2.0,3.0,3.0
Thornvault Forager,G,R,B+,9.0,B,8.0,C,5.0,B,8.0,1.0,0.0,3.0
Scrapshooter,G,R,B,8.0,C+,6.0,B-,7.0,B-,7.0,1.0,1.0,0.0
Fecund Greenshell,G,R,A-,10.0,C+,6.0,B-,7.0,A+,12.0,2.0,6.0,5.0
"Lumra, Bellow of the Woods",G,M,A,11.0,B-,7.0,B+,9.0,A,11.0,0.0,4.0,2.0
Season of Gathering,G,M,A,11.0,B-,7.0,B,8.0,A-,10.0,1.0,3.0,2.0
Hidden Grotto,C,C,C-,4.0,C-,4.0,C,5.0,C-,4.0,0.0,0.0,1.0
Fountainport Bell,C,C,C,5.0,C,5.0,C-,4.0,C,5.0,0.0,0.0,1.0
Bumbleflower's Sharepot,C,C,C-,4.0,D,2.0,D+,3.0,D+,3.0,1.0,1.0,0.0
Three Tree Mascot,C,C,C-,4.0,C-,4.0,D+,3.0,C-,4.0,0.0,0.0,1.0
Barkform Harvester,C,C,D+,3.0,D+,3.0,D,2.0,D,2.0,1.0,1.0,0.0
Uncharted Haven,C,U,B-,7.0,C,5.0,C+,6.0,C+,6.0,1.0,1.0,0.0
Heirloom Epic,C,U,D+,3.0,C-,4.0,D+,3.0,F,0.0,3.0,4.0,3.0
Short Bow,C,U,D+,3.0,D+,3.0,C-,4.0,C+,6.0,3.0,3.0,2.0
Patchwork Banner,C,U,D+,3.0,C-,4.0,D+,3.0,B,8.0,5.0,4.0,5.0
Tangle Tumbler,C,U,C-,4.0,D+,3.0,C,5.0,B-,7.0,3.0,4.0,2.0
Starforged Sword,C,U,D-,1.0,D-,1.0,D,2.0,F,0.0,1.0,1.0,2.0
Fountainport,C,R,D-,1.0,C-,4.0,C+,6.0,C,5.0,4.0,1.0,1.0
Three Tree City,C,R,D,2.0,C-,4.0,C,5.0,F,0.0,2.0,4.0,5.0
Seedpod Squire,M,C,C,5.0,C,5.0,C,5.0,D,2.0,3.0,3.0,3.0
Mind Drill Assailant,M,C,D+,3.0,D+,3.0,C-,4.0,D+,3.0,0.0,0.0,1.0
Cindering Cutthroat,M,C,C,5.0,C-,4.0,C+,6.0,C,5.0,0.0,1.0,1.0
Junkblade Bruiser,M,C,C+,6.0,C+,6.0,C,5.0,C-,4.0,2.0,2.0,1.0
Head of the Homestead,M,C,B,8.0,C+,6.0,C,5.0,C+,6.0,2.0,0.0,1.0
Moonrise Cleric,M,C,C,5.0,C,5.0,C+,6.0,C,5.0,0.0,0.0,1.0
Tempest Angler,M,C,C,5.0,C,5.0,C+,6.0,C-,4.0,1.0,1.0,2.0
Corpseberry Cultivator,M,C,C+,6.0,C+,6.0,C+,6.0,C,5.0,1.0,1.0,1.0
Veteran Guardmouse,M,C,B-,7.0,C,5.0,C,5.0,D+,3.0,4.0,2.0,2.0
Pond Prophet,M,C,C,5.0,C+,6.0,C+,6.0,B-,7.0,2.0,1.0,1.0
Plumecreed Mentor,M,U,B-,7.0,C,5.0,C+,6.0,C+,6.0,1.0,1.0,0.0
Tidecaller Mentor,M,U,C-,4.0,C+,6.0,C,5.0,C+,6.0,2.0,0.0,1.0
Fireglass Mentor,M,U,B-,7.0,C+,6.0,C+,6.0,B,8.0,1.0,2.0,2.0
Wandertale Mentor,M,U,B-,7.0,C+,6.0,C+,6.0,B+,9.0,2.0,3.0,3.0
Burrowguard Mentor,M,U,C+,6.0,B-,7.0,B,8.0,B+,9.0,3.0,2.0,1.0
Starseer Mentor,M,U,B+,9.0,C-,4.0,B-,7.0,C+,6.0,3.0,2.0,1.0
Stormcatch Mentor,M,U,C,5.0,C,5.0,C,5.0,C,5.0,0.0,0.0,0.0
Vinereap Mentor,M,U,B-,7.0,B-,7.0,B-,7.0,A-,10.0,3.0,3.0,3.0
Seedglaive Mentor,M,U,B-,7.0,C+,6.0,B-,7.0,C,5.0,2.0,1.0,2.0
Lilysplash Mentor,M,U,B,8.0,C-,4.0,C,5.0,B-,7.0,1.0,3.0,2.0
