Name,Color,Rarity,Mana Value,Tier,Synergy,Buildaround,Comment,Image,Image Back
Rust-Shield Rampager,G,C,4,C-,,,,https://cards.scryfall.io/large/front/c/9/c96b01f5-83de-4237-a68d-f946c53e31a6.jpg?1721426907,
Scrapshooter,G,R,3,B-,,,,https://cards.scryfall.io/large/front/c/4/c42ab407-e72d-4c48-9a9e-2055b5e71c69.jpg?1721426916,
Season of Gathering,G,M,6,A-,,,,https://cards.scryfall.io/large/front/7/1/71dd3c27-e0d5-434e-a0f3-4a95245e21c2.jpg?1721426924,
Stickytongue Sentinel,G,C,3,C+,,,,https://cards.scryfall.io/large/front/b/5/b5fa9651-b217-4f93-9c46-9bdb11feedcb.jpg?1721426926,
Stocking the Pantry,G,U,1,C,True,True,,https://cards.scryfall.io/large/front/5/0/50e95c7b-f0b2-4276-8c5e-4191b7ba35d1.jpg?1721684948,
Sunshower Druid,G,C,1,C,,,,https://cards.scryfall.io/large/front/7/7/7740abc5-54e1-478d-966e-0fa64e727995.jpg?1721426936,
Tender Wildguide,G,R,2,A-,,,,https://cards.scryfall.io/large/front/6/b/6b8bfa91-adb0-4596-8c16-d8bb64fdb26d.jpg?1721426949,
Thornvault Forager,G,R,2,B,,,,https://cards.scryfall.io/large/front/8/c/8c2d6b02-a453-40f9-992a-5c5542987cfb.jpg?1721933896,
Three Tree Rootweaver,G,C,2,C-,,,,https://cards.scryfall.io/large/front/d/1/d1ab6e14-26e0-4174-b5c6-bc0f5c26b177.jpg?1721426963,
Three Tree Scribe,G,U,2,C+,,,,https://cards.scryfall.io/large/front/e/a/ea2ca1b3-4c1a-4be5-b321-f57db5ff0528.jpg?1721426968,
"Beza, the Bounding Spring",W,M,4,A,,,,https://cards.scryfall.io/large/front/f/c/fc310a26-b6a0-4e42-98ab-bdfd7b06cb63.jpg?1721425768,
Lifecreed Duo,W,C,2,C,,,,https://cards.scryfall.io/large/front/c/a/ca543405-5e12-48a0-9a77-082ac9bcb2f2.jpg?1721425877,
Treeguard Duo,G,C,4,C+,,,,https://cards.scryfall.io/large/front/8/9/89c8456e-c971-42b7-abf3-ff5ae1320abe.jpg?1721426977,
Treetop Sentries,G,C,4,C,,,,https://cards.scryfall.io/large/front/e/1/e16d4d6e-1fe5-4ff6-9877-8c849a24f5e0.jpg?1721426978,
Valley Mightcaller,G,R,1,A-,,,,https://cards.scryfall.io/large/front/7/2/7256451f-0122-452a-88e8-0fb0f6bea3f3.jpg?1721639437,
Wear Down,G,U,2,SB,,,,https://cards.scryfall.io/large/front/f/d/fded2b83-3b7d-4c8c-83c4-0624a1069628.jpg?1721426996,
"Alania, Divergent Storm",M,R,5,D+,,,,https://cards.scryfall.io/large/front/4/3/436d6a84-4cea-4ca7-94aa-9d08280652af.jpg?1721426997,
"Baylen, the Haymaker",M,R,3,C+,,True,,https://cards.scryfall.io/large/front/0/0/00e93be2-e06b-4774-8ba5-ccf82a6da1d8.jpg?1721427006,
Burrowguard Mentor,M,U,2,B+,,,,https://cards.scryfall.io/large/front/8/7/87138ace-3594-499e-bad5-ec76148613ea.jpg?1721427007,
"Camellia, the Seedmiser",M,R,3,A,,,,https://cards.scryfall.io/large/front/2/c/2c16eaec-924c-42f6-9fea-07edd7ed93b9.jpg?1721933903,
Cindering Cutthroat,M,C,3,C,,,,https://cards.scryfall.io/large/front/b/2/b2ea10dd-21ea-4622-be27-79d03a802b85.jpg?1721427019,
"Clement, the Worrywort",M,R,3,B,,,,https://cards.scryfall.io/large/front/7/0/7028130c-c91d-4bf7-b0b0-450f71107d7a.jpg?1721427029,
Mabel's Mettle,W,U,2,C,,,,https://cards.scryfall.io/large/front/5/c/5cfcf83f-089c-4e35-855e-b61b98bb1cd8.jpg?1721425880,
Corpseberry Cultivator,M,C,3,C,,,,https://cards.scryfall.io/large/front/c/9/c911a759-ed7b-452b-88a3-663478357610.jpg?1721427036,
Dreamdew Entrancer,M,R,4,A,,,,https://cards.scryfall.io/large/front/2/6/26bd6b0d-8606-4a37-8be3-a852f1a8e99c.jpg?1721427040,
"Finneas, Ace Archer",M,R,2,A,,,,https://cards.scryfall.io/large/front/0/d/0dee197d-c313-4364-b52c-f83d5f579bc3.jpg?1721427047,
Fireglass Mentor,M,U,2,B,,,,https://cards.scryfall.io/large/front/b/7/b78fbaa3-c580-4290-9c28-b74169aab2fc.jpg?1721427057,
"Gev, Scaled Scorch",M,R,2,A,,,,https://cards.scryfall.io/large/front/1/3/131ea976-289e-4f32-896d-27bbfd423ba9.jpg?1721427059,
"Glarb, Calamity's Augur",M,M,3,A-,,,,https://cards.scryfall.io/large/front/f/f/ffc70b2d-5a3a-49ea-97db-175a62248302.jpg?1721427068,
Head of the Homestead,M,C,5,C+,,,,https://cards.scryfall.io/large/front/2/f/2fc20157-edd3-484d-8864-925c071c0551.jpg?1721427071,
"Helga, Skittish Seer",M,M,3,D+,,,,https://cards.scryfall.io/large/front/4/0/40339715-22d0-4f99-822b-a00d9824f27a.jpg?1721427078,
"Hugs, Grisly Guardian",M,M,4,B+,,,,https://cards.scryfall.io/large/front/f/0/f09d7f4a-c947-4389-befa-1d547d0d1237.jpg?1721427081,
The Infamous Cruelclaw,M,M,3,B-,,,,https://cards.scryfall.io/large/front/d/c/dc6c9196-6d28-4cc2-9748-60e9632a502b.jpg?1721427092,
Mouse Trapper,W,U,3,D+,,,,https://cards.scryfall.io/large/front/8/b/8ba1bc5a-03e7-44ec-893e-44042cbc02ef.jpg?1721425888,
Junkblade Bruiser,M,C,5,C-,,,,https://cards.scryfall.io/large/front/9/1/918fd89b-5ab7-4ae2-920c-faca5e9da7b9.jpg?1721427100,
"Kastral, the Windcrested",M,R,5,B,,,,https://cards.scryfall.io/large/front/e/b/ebf68793-22a2-4a59-9d37-6791584edca1.jpg?1721427101,
Lilysplash Mentor,M,U,4,B-,,,,https://cards.scryfall.io/large/front/6/4/64de7b1f-a03e-4407-91f1-e108a2f26735.jpg?1721427132,
Lunar Convocation,M,R,2,C+,,,,https://cards.scryfall.io/large/front/a/9/a9ee50d4-c878-457b-964d-29c039ce9852.jpg?1721427132,
"Mabel, Heir to Cragflame",M,R,3,A,,,,https://cards.scryfall.io/large/front/b/e/be6627fd-729d-44f2-b6bf-5299f49d1e3d.jpg?1721427144,
Mind Drill Assailant,M,C,4,D+,,,,https://cards.scryfall.io/large/front/5/0/507ba708-ca9b-453e-b4c2-23b6650eb5a8.jpg?1721427150,
Moonrise Cleric,M,C,3,C,,,,https://cards.scryfall.io/large/front/3/5/35f2a71f-31e8-4b51-9dd4-51a5336b3b86.jpg?1721427155,
"Muerra, Trash Tactician",M,R,3,B,,,,https://cards.scryfall.io/large/front/b/4/b40e4658-fd68-46d0-9a89-25570a023d19.jpg?1721427159,
Plumecreed Mentor,M,U,3,C+,,,,https://cards.scryfall.io/large/front/b/1/b1aa988f-547e-449a-9f1a-296c01d68d96.jpg?1721427166,
Pond Prophet,M,C,2,B-,,,,https://cards.scryfall.io/large/front/f/b/fb959e74-61ea-453d-bb9f-ad0183c0e1b1.jpg?1721427169,
Nettle Guard,W,C,2,C,,,,https://cards.scryfall.io/large/front/8/c/8c9c3cc3-2aa2-453e-a17c-2baeeaabe0a9.jpg?1721425890,
"Ral, Crackling Wit",M,M,4,B+,,,,https://cards.scryfall.io/large/front/a/c/acfde780-899a-4c5b-a39b-f4a3ff129103.jpg?1721427178,
Seedglaive Mentor,M,U,3,C,,,,https://cards.scryfall.io/large/front/d/2/d21c3e41-0636-49a3-8c9c-384c5e5c9c3e.jpg?1721427185,
Seedpod Squire,M,C,4,D,,,,https://cards.scryfall.io/large/front/f/3/f3684577-51ce-490e-9b59-b19c733be466.jpg?1721427187,
Starseer Mentor,M,U,5,C+,,,,https://cards.scryfall.io/large/front/6/b/6b2f6dc5-9fe8-49c1-b24c-1d99ce1da619.jpg?1721427196,
Stormcatch Mentor,M,U,2,C,,,,https://cards.scryfall.io/large/front/9/9/99754055-6d67-4fde-aff3-41f6af6ea764.jpg?1721427197,
Tempest Angler,M,C,3,C-,,,,https://cards.scryfall.io/large/front/8/5/850daae4-f0b7-4604-95e7-ad044ec165c3.jpg?1721427207,
Tidecaller Mentor,M,U,3,C+,,,,https://cards.scryfall.io/large/front/f/a/fa10ffac-7cc2-41ef-b8a0-9431923c0542.jpg?1721427215,
Veteran Guardmouse,M,C,4,D+,,,,https://cards.scryfall.io/large/front/3/d/3db43c46-b616-4ef8-80ed-0fab345ab3d0.jpg?1721427216,
Vinereap Mentor,M,U,2,A-,,,,https://cards.scryfall.io/large/front/2/9/29b615ba-45c4-42a1-8525-1535f0b55300.jpg?1721427225,
"Vren, the Relentless",M,R,4,A,,,,https://cards.scryfall.io/large/front/6/5/6506277d-f031-4db5-9d16-bf2389094785.jpg?1721427225,
Parting Gust,W,U,2,D+,,,,https://cards.scryfall.io/large/front/1/0/1086e826-94b8-4398-8a38-d8eacca56a43.jpg?1721425901,
Wandertale Mentor,M,U,2,B+,,,,https://cards.scryfall.io/large/front/8/c/8c399a55-d02e-41ed-b827-8784b738c118.jpg?1721427242,
"Ygra, Eater of All",M,M,5,A,,,,https://cards.scryfall.io/large/front/b/9/b9ac7673-eae8-4c4b-889e-5025213a6151.jpg?1721427242,
"Zoraline, Cosmos Caller",M,R,3,A,,,,https://cards.scryfall.io/large/front/b/7/b7f99fd5-5298-4b27-923d-9d31203c931a.jpg?1721427252,
Barkform Harvester,C,C,3,D,,,,https://cards.scryfall.io/large/front/f/7/f77049a6-0f22-415b-bc89-20bcb32accf6.jpg?1721427262,
Bumbleflower's Sharepot,C,C,2,D+,True,,,https://cards.scryfall.io/large/front/5/f/5f0affd5-5dcd-4dd1-a694-37a9aedf4084.jpg?1721427267,
Fountainport Bell,C,C,1,C,,,,https://cards.scryfall.io/large/front/a/5/a5c94bc0-a49d-451b-8e8d-64d46b8b8603.jpg?1721427270,
Heirloom Epic,C,U,1,F,,,,https://cards.scryfall.io/large/front/7/8/7839ce48-0175-494a-ab89-9bdfb7a50cb1.jpg?1721427279,
Patchwork Banner,C,U,3,B,,,,https://cards.scryfall.io/large/front/a/8/a8a982c8-bc08-44ba-b3ed-9e4b124615d6.jpg?1721427285,
Short Bow,C,U,2,C+,True,,,https://cards.scryfall.io/large/front/5/1/51d8b72b-fa8f-48d3-bddc-d3ce9b8ba2ea.jpg?1721427294,
Starforged Sword,C,U,4,F,,,,https://cards.scryfall.io/large/front/c/2/c23d8e96-b972-4c6c-b0c4-b6627621f048.jpg?1721427296,
Pileated Provisioner,W,C,5,D+,,,,https://cards.scryfall.io/large/front/a/e/ae442cd6-c4df-4aad-9b1d-ccd936c5ec96.jpg?1721425901,
Tangle Tumbler,C,U,3,B-,,True,,https://cards.scryfall.io/large/front/2/5/258ef349-5042-4992-bae9-9f8f54b55db0.jpg?1721427304,
Three Tree Mascot,C,C,2,C-,,,,https://cards.scryfall.io/large/front/a/a/aaced75b-6e07-457c-8ea2-f74d99710d15.jpg?1721427313,
Fabled Passage,L,R,0,B-,,,,https://cards.scryfall.io/large/front/8/8/8809830f-d8e1-4603-9652-0ad8b00234e9.jpg?1721427315,
Fountainport,L,R,0,C,,,,https://cards.scryfall.io/large/front/6/5/658cfcb7-81b7-48c6-9dd2-1663d06108cf.jpg?1721427323,
Hidden Grotto,L,C,0,C-,,,,https://cards.scryfall.io/large/front/4/b/4ba8f2e7-8357-4862-97dc-1942d066023a.jpg?1721427326,
Lilypad Village,L,U,0,C-,,,,https://cards.scryfall.io/large/front/7/e/7e95a7cc-ed77-4ca4-80db-61c0fc68bf50.jpg?1721639529,
Lupinflower Village,L,U,0,C+,,,,https://cards.scryfall.io/large/front/8/a/8ab9d56f-9178-4ec9-a5f6-b934f50d8d9d.jpg?1721639625,
Mudflat Village,L,U,0,C+,,,,https://cards.scryfall.io/large/front/5/3/53ec4ad3-9cf0-4f1b-a9db-d63feee594ab.jpg?1721639657,
